service_id,date,exception_type
2,20221128,2
2,20221129,2
2,20221130,2
2,20221201,2
2,20221205,2
2,20221206,2
2,20221207,2
2,20221208,2
4,20221129,2
4,20221130,2
4,20221201,2
4,20221205,2
4,20221206,2
4,20221207,2
4,20221208,2
5,20221129,2
5,20221130,2
5,20221201,2
7,20221129,2
7,20221130,2
7,20221201,2
7,20221206,2
7,20221207,2
7,20221208,2
9,20221128,2
9,20221205,2
11,20221208,2
13,20221202,2
14,20221128,2
14,20221129,2
14,20221130,2
14,20221201,2
14,20221202,2
15,20221129,2
15,20221201,2
15,20221206,2
15,20221208,2
16,20221129,2
17,20221130,2
17,20221201,2
17,20221207,2
17,20221208,2
19,20221127,2
19,20221204,2
20,20221127,2
28,20221203,2
29,20221203,2
32,20221202,2
33,20221129,2
33,20221130,2
33,20221201,2
33,20221202,2
34,20221129,2
34,20221130,2
34,20221201,2
35,20221129,2
35,20221130,2
35,20221201,2
35,20221202,2
38,20221129,2
38,20221130,2
38,20221201,2
38,20221205,2
38,20221206,2
38,20221207,2
38,20221208,2
39,20221201,2
39,20221202,2
41,20221129,2
43,20221129,2
43,20221130,2
43,20221201,2
43,20221206,2
43,20221207,2
43,20221208,2
45,20221202,2
45,20221205,2
48,20221130,2
48,20221202,2
48,20221205,2
48,20221207,2
51,20221202,2
51,20221205,2
51,20221206,2
52,20221205,2
52,20221206,2
52,20221207,2
55,20221202,2
55,20221205,2
55,20221207,2
57,20221202,2
58,20221202,2
59,20221205,2
59,20221206,2
59,20221207,2
59,20221208,2
61,20221206,2
61,20221208,2
63,20221204,2
70,20221206,2
77,20221128,2
