service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20221125,20221209
2,1,1,1,1,1,0,0,20221125,20221209
3,1,1,1,1,1,0,0,20221125,20221205
4,1,1,1,1,1,0,0,20221125,20221209
5,1,1,1,1,1,0,0,20221125,20221209
6,1,1,1,1,1,0,0,20221125,20221125
7,1,1,1,1,1,0,0,20221125,20221209
8,1,1,1,1,1,0,0,20221125,20221129
9,1,1,1,1,1,0,0,20221125,20221209
10,1,1,1,1,1,0,0,20221125,20221128
11,1,1,1,1,1,0,0,20221125,20221209
12,1,1,1,1,1,0,0,20221125,20221130
13,1,1,1,1,1,0,0,20221125,20221209
14,1,1,1,1,1,0,0,20221125,20221209
15,1,1,1,1,1,0,0,20221125,20221209
16,1,1,1,1,1,0,0,20221125,20221130
17,1,1,1,1,1,0,0,20221125,20221209
18,0,0,0,0,0,1,1,20221126,20221210
19,0,0,0,0,0,1,1,20221126,20221210
20,0,0,0,0,0,1,1,20221126,20221203
21,0,0,0,0,0,1,1,20221126,20221204
22,0,0,0,0,0,1,1,20221126,20221127
23,0,0,0,0,0,1,1,20221126,20221126
24,1,0,0,0,0,0,1,20221127,20221211
25,0,0,0,0,0,1,0,20221126,20221126
26,0,0,0,0,0,0,1,20221127,20221127
27,0,0,0,0,0,1,0,20221126,20221210
28,0,0,0,0,0,1,1,20221126,20221204
29,0,0,0,0,0,1,1,20221127,20221204
30,0,0,0,0,0,1,1,20221127,20221127
31,1,0,0,0,0,0,0,20221128,20221128
32,1,1,1,1,1,0,0,20221128,20221208
33,1,1,1,1,1,0,0,20221128,20221208
34,1,1,1,1,1,0,0,20221128,20221209
35,1,1,1,1,1,0,0,20221128,20221205
36,1,1,1,1,1,0,0,20221128,20221209
37,1,1,1,1,1,0,0,20221128,20221128
38,1,1,1,1,1,0,0,20221128,20221209
39,1,1,1,1,1,0,0,20221128,20221207
40,1,1,1,1,1,0,0,20221128,20221202
41,1,1,1,1,1,0,0,20221128,20221130
42,1,1,1,1,1,0,0,20221128,20221130
43,1,1,1,1,1,0,0,20221128,20221209
44,1,1,1,1,1,0,0,20221129,20221201
45,1,1,1,1,1,0,0,20221129,20221208
46,1,1,1,1,1,0,0,20221129,20221209
47,1,1,1,1,1,0,0,20221129,20221129
48,1,1,1,1,1,0,0,20221129,20221208
49,1,1,1,1,1,0,0,20221130,20221209
50,1,1,1,1,1,0,0,20221130,20221130
51,1,1,1,1,1,0,0,20221130,20221208
52,1,1,1,1,1,0,0,20221201,20221209
53,1,1,1,1,1,0,0,20221201,20221209
54,1,1,1,1,1,0,0,20221201,20221205
55,1,1,1,1,1,0,0,20221201,20221208
56,1,1,1,1,1,0,0,20221201,20221202
57,1,1,1,1,1,0,0,20221201,20221209
58,1,1,1,1,1,0,0,20221201,20221208
59,1,1,1,1,1,0,0,20221202,20221209
60,1,1,1,1,1,0,0,20221202,20221202
61,1,1,1,1,1,0,0,20221202,20221209
62,0,0,0,0,0,1,1,20221203,20221210
63,0,0,0,0,0,1,1,20221203,20221210
64,0,0,0,0,0,1,1,20221203,20221203
65,0,0,0,0,0,1,0,20221203,20221203
66,0,0,0,0,0,1,0,20221203,20221210
67,0,0,0,0,0,1,1,20221204,20221204
68,0,0,0,0,0,0,1,20221204,20221204
69,1,1,1,1,1,0,0,20221205,20221206
70,1,1,1,1,1,0,0,20221205,20221207
71,1,1,1,1,1,0,0,20221205,20221209
72,1,1,1,1,1,0,0,20221205,20221205
73,1,1,1,1,1,0,0,20221206,20221209
74,1,1,1,1,1,0,0,20221207,20221208
75,0,0,0,0,0,1,1,20221210,20221210
76,0,0,0,0,0,1,0,20221210,20221210
77,1,1,1,1,1,0,0,20221125,20221209
78,0,0,0,0,1,1,0,20221125,20221209
79,0,0,0,0,1,1,0,20221125,20221125
80,0,0,0,0,0,0,1,20221127,20221204
81,0,0,0,0,0,1,1,20221127,20221210
82,0,0,0,0,1,1,0,20221126,20221209
83,1,1,1,1,0,0,1,20221127,20221208
84,1,1,1,1,0,0,1,20221127,20221129
85,1,1,1,1,0,0,1,20221130,20221208
86,0,0,0,0,0,1,1,20221203,20221204
87,0,0,0,0,1,1,0,20221210,20221210
